ID,HEADLINE,URL,V1,V2,V3,V4,V5,V6,V7,V8,V9,NOTES
10,Wanted in Seattle classrooms: more teachers of color,http://seattletimes.com/html/localnews/2017470322_teacherdiversity10m.html,2,2,1,1,1,2,0,1,2,Response is on two levels. Top-level=hire more diverse teachers. Second level: solutions for how to hire more diverse teachers
11,Can rigorous academics help Rainier Beach?,http://seattletimes.com/html/localnews/2018096833_rainierbeachib29m.html,1,2,1,2,2,2,2,2,2,
12,Higher fees to play sports leaves kids on sidelines,http://seattletimes.com/html/localnews/2017186317_paytoplay08m.html,2,2,0,1,0,0,0,1,2,
13,State’s new math test may keep many seniors from graduating,http://seattletimes.com/html/education/2020738031_mathtestgraduationxml.html,1,0,0,0,0,0,0,0,2,
14,Educators debate validity of MAP testing,http://seattletimes.com/html/localnews/2020678255_maptestswebxml.html,1,2,1,1,1,1,1,1,2,
15,"Civil-rights reviews focus on several school districts, state",http://seattletimes.com/html/education/2020596643_civilrightsinvestigationsxml.html,1,0,0,0,0,0,1,0,2,
16,Seattle Schools may ask voters for more than $1B in February,http://seattletimes.com/html/localnews/2019458988_schoollevy18m.html,2,1,1,1,0,0,1,0,2,Is the bond issue and corresponding construction plan the response?
17,"Former foe now embraces charter schools, campaigns for I-1240",http://seattletimes.com/html/localnews/2019505755_macfarlane24m.html,1,2,1,1,0,0,1,0,2,Mostly a back and forth on the politics around a proposed solution
18,Academy in Federal Way district is similar to a charter school,http://seattletimes.com/html/localnews/2019398866_taf11m.html,1,2,1,2,1,2,1,1,2,Missed opportunity to provide deeper reporting on the TAF model
19,Seattle Catholic school pins hopes on charter-style changes,http://seattletimes.com/html/localnews/2019061379_sttherese04m.html,2,2,2,2,2,1,1,1,2,
